"group","id","time","y"
32,1,32,4
32,1,33,5
32,1,34,3
32,1,35,5
32,1,36,5
32,1,37,3
32,1,38,5
32,1,39,4
32,1,40,5
32,1,41,4
32,1,42,3
32,1,43,4
32,1,44,4
32,1,45,4
32,1,46,5
32,1,47,3
32,1,48,5
32,1,49,4
32,1,50,3
32,1,51,3
32,1,52,4
32,1,53,4
32,1,54,4
32,1,55,4
32,1,56,4
32,1,57,4
32,1,58,4
32,1,59,4
32,1,60,5
32,1,61,4
32,1,62,5
32,1,63,4
32,1,64,4
32,1,65,4
32,1,66,4
32,1,67,4
32,1,68,5
32,1,69,5
32,1,70,4
32,1,71,4
32,1,72,4
32,1,73,4
32,1,74,5
32,1,75,4
32,1,76,5
32,1,77,3
32,1,78,4
32,1,79,4
32,1,80,5
32,2,1,4
32,2,2,5
32,2,3,3
32,2,4,3
32,2,5,5
32,2,6,4
32,2,7,5
32,2,8,3
32,2,9,3
32,2,10,4
32,2,11,5
32,2,12,4
32,2,13,5
32,2,14,3
32,2,15,5
32,2,16,5
32,2,17,5
32,2,18,4
32,2,19,4
32,2,20,4
32,2,21,3
32,2,22,4
32,2,23,5
32,2,24,4
32,2,25,3
32,2,26,4
32,2,27,4
32,2,28,3
32,2,29,3
32,2,30,6
32,2,31,2
32,2,32,4
32,2,33,5
32,2,34,4
32,2,35,4
32,2,36,4
32,2,37,4
32,2,38,3
32,2,39,4
32,2,40,3
32,2,41,4
32,2,42,4
32,2,43,5
32,2,44,4
32,2,45,4
32,2,46,5
32,2,47,5
32,2,48,4
32,2,49,4
32,2,50,4
32,2,51,4
32,2,52,3
32,2,53,5
32,2,54,3
32,2,55,4
32,2,56,4
32,2,57,4
32,2,58,4
32,2,59,5
32,2,60,5
32,2,61,4
32,2,62,5
32,2,63,4
32,2,64,3
32,2,65,4
32,2,66,4
32,2,67,3
32,2,68,5
32,2,69,4
32,2,70,5
32,2,71,3
32,2,72,4
32,2,73,3
32,2,74,3
32,2,75,4
32,2,76,5
32,2,77,4
32,2,78,4
32,2,79,4
32,2,80,4
32,3,1,6
32,3,2,6
